id,page,steps,severity,impact,evidence,fix
F-001,/login,"Open /login, enter valid credentials, click 'Войти'",critical,"Login cannot complete in dev; all protected UX blocked for normal users","Frontend calls /api/auth/login but request fails (net::ERR_ABORTED); vite proxy uses BACKEND_URL while docker-compose sets VITE_API_URL in frontend service","Align env variable usage in vite proxy and docker-compose (use one source), add integration smoke test for auth"
F-002,/login,"Try Playwright getByLabel('Email') and getByLabel('Пароль')",high,"Form accessibility fails; automated tests and screen readers cannot map labels","Playwright runtime check returned label bindings 0/0; FormField label has no htmlFor in design-system/components/FormField/index.tsx","Generate unique ids in FormField and bind label htmlFor + input id"
F-003,/login,"Keyboard navigate to password visibility icon button",high,"Icon control has no accessible name","Login page password toggle button lacks aria-label/title in modules/auth/LoginPage.tsx","Add aria-label dynamic text (show/hide password)"
F-004,/projects,"Open top search in TopBar, type query, press Enter",high,"Global discovery is broken; users cannot quickly jump to objects","URL remains /projects after Enter; TopBar input has no onChange/search action in design-system/components/TopBar/index.tsx","Wire TopBar search to /search route with debounced query and keyboard command palette"
F-005,/workflow/designer,"Open page and click back button 'Назад'",high,"User gets redirected to dashboard instead of workflow list; context loss","Button navigates to /workflows; runtime resolves /workflows -> / via catch-all","Replace /workflows with /workflow/templates everywhere"
F-006,/workflow/designer,"Inspect breadcrumbs and click business-processes target",medium,"Breadcrumb path inconsistent with router contracts","Breadcrumb href hardcoded /workflows in modules/workflow/WorkflowDesignerPage.tsx and WorkflowInstancePage.tsx","Use shared route constants and lint for unknown route strings"
F-007,/projects@320px,"Open /projects at 320x800 viewport",high,"Horizontal overflow on critical data table screen","Playwright overflow check: scrollWidth-clientWidth diff 229 at 320px","Add responsive table strategy: stacked rows, frozen essential columns, horizontal snap container"
F-008,/workflow/designer@320px,"Open /workflow/designer at 320x800 viewport",medium,"Horizontal clipping on workflow editor","Playwright overflow diff 51 at 320px","Add compact mobile layout and avoid fixed-width controls"
F-009,/mobile/reports/new@320px,"Open /mobile/reports/new at 320x800 viewport",medium,"Small overflow on mobile field form","Playwright overflow diff 8 at 320px","Audit fixed paddings/gaps and enforce mobile-safe spacing tokens"
F-010,frontend_build,"Run npm run build in frontend container",critical,"Production deployment blocked; no reliable perf baseline","TypeScript build emits hundreds of errors (891 lines output), including type mismatches and missing exports","Introduce CI gate per module batch and fix type contracts before adding new modules"
F-011,frontend_build,"Review build output for UI modules",high,"Large surface area of unstable pages","Errors in workflow, safety, rfi, submittals, portfolio, warehouse and more","Stabilize domain types with schema-first API client generation"
F-012,frontend,"Inspect useQuery usage across modules",high,"Data integrity risk: mock data can mask backend failures","Large count of placeholderData + mock datasets across core modules","Separate demo mode explicitly; show 'demo data' badge and disable transactional actions in demo mode"
F-013,/projects,"Open list and trigger delete bulk action",high,"Destructive action UX is unsafe and non-enterprise","Bulk delete uses window.confirm and maps to changeStatus('CANCELLED') in ProjectListPage","Use confirmation modal with object list, undo window, audit log entry"
F-014,/projects,"Keyboard-only navigation through table rows",high,"Rows are clickable by mouse but not keyboard operable","DataTable uses tr onClick without role/button semantics in design-system/components/DataTable/index.tsx","Render row action as focusable control or add role='button', tabIndex and key handlers"
F-015,/projects,"Screen reader traversal of table",medium,"Table semantics incomplete for assistive tech","No caption, no scope attrs, no aria-sort in DataTable headers","Add table caption, scope='col', aria-sort and accessible row selection labels"
F-016,/projects,"Inspect checkbox controls in table selection",medium,"Checkbox purpose unclear to screen readers","Selection checkboxes have no aria-label in DataTable","Add per-row aria-label and header 'select all rows' label"
F-017,/workflow/designer,"Open modal and inspect aria attributes",medium,"Potential id collisions with multiple dialogs","Modal always uses id='modal-title' in design-system/components/Modal/index.tsx","Generate unique modal ids per instance"
F-018,/workflow/designer,"Tab through opened modal controls",medium,"Focus management not fully trapped","Modal focuses container but does not enforce focus loop","Implement focus trap with sentinels and restore focus on close"
F-019,/settings,/notifications,"Inspect sidebar badges and runtime values",medium,"Notification counters are hardcoded and can mislead users","Sidebar items use static badge values 3 and 5 in design-system/components/Sidebar/index.tsx","Drive badges from API state and hide when stale/unavailable"
F-020,/search,"Try command+K and enter query in topbar",medium,"Two search entry points disconnected; weak IA","Global search page exists (/search) but topbar input does not route there","Create object-centric universal search with shortcuts and recent entities"
F-021,design_system,"Inspect Button variants used across modules",high,"Inconsistent API causes build/runtime mismatch","Workflow pages use variant='outline' but Button supports primary/secondary/ghost/danger/success only","Standardize button variant tokens and add TS-safe enum + codemod"
F-022,design_system,"Inspect FormField usage in complex forms",medium,"Inconsistent labeling and hint/error patterns","Many pages use raw label + Input instead of FormField contract","Create lint rule for mandatory FormField wrapper on inputs"
F-023,i18n,"Search for i18n hook usage",medium,"Localization infrastructure exists but unused in UI","No imports from '@/i18n' in tsx files; text hardcoded Russian","Adopt translation hook and externalize user-facing strings incrementally"
F-024,formatting,"Inspect formatting utility",low,"Locale flexibility limited for multinational deployments","lib/format.ts hardcodes ru-RU and ru locale","Use active locale from i18n layer for number/date formatters"
F-025,mobile_field_report,"Click 'Сохранить черновик' and reload",high,"Draft workflow is deceptive; data loss risk","MobileReportNewPage handleSubmit only toast+navigate, no persistence","Persist drafts to API/local storage with recovery prompt"
F-026,offline_mobile,"Search for service worker/offline cache implementation",medium,"No offline resilience for field workflows","No serviceWorker/workbox/offline strategy in frontend sources","Implement PWA shell, queue writes, and conflict resolution UI"
F-027,routing,"Open unknown path",low,"Catch-all redirect hides navigation errors","Route '*' always navigates to '/' in routes/index.tsx","Add 404 page with actionable recovery and diagnostics"
F-028,qa_tests,"Inspect frontend/src for component tests",high,"Design regressions can ship unnoticed","No *.test.tsx found in src","Add component tests for DS primitives and high-risk pages"
F-029,qa_tests,"Inspect e2e smoke assertions",medium,"Current e2e tests validate visibility only, not business behavior","navigation.spec.ts checks body visible and generic text","Expand to critical path e2e: create project -> procurement -> stock movement -> payment"
F-030,qa_tests,"Inspect visual regression setup",high,"UI drift risk across dense enterprise screens","No visual snapshot tests configured","Add Playwright screenshot baselines by viewport + Percy/Chromatic-like workflow"
F-031,a11y_runtime,/projects,"Run runtime a11y signal scan",high,"Form and icon controls missing names","Automated scan: unlabeled form controls and icon buttons without accessible name on key pages","Add accessibility checks in CI (axe) and enforce aria/name linting"
F-032,a11y_runtime,/workflow/designer,"Run runtime a11y signal scan",high,"High count of unnamed icon-only controls","Automated scan found 7 icon buttons without name on workflow designer","Add aria-label/title and visible tooltip text for icon actions"
F-033,a11y_runtime,/projects,"Inspect selected-row toolbar close button",medium,"Selection clear icon has no text/aria","Toolbar X button in DataTable lacks accessible name","Set aria-label='Снять выделение' and keyboard shortcut hint"
F-034,performance,"Measure first page transfer at /",medium,"Cold start is heavy for enterprise laptop networks","Playwright perf sample: ~6227 KB transfer on first route in dev","Collect prod Lighthouse after build fix, then enforce JS budget and route prefetch policy"
F-035,performance,"Inspect bundle configuration",medium,"Chunking is coarse and not domain-oriented","vite.config.ts manualChunks only vendor/charts/table/query","Split by route groups and lazy-load heavy boards/charts/editors"
F-036,performance,"Inspect data-table rendering strategy",medium,"Scalability risk on long lists","No virtualization code in DataTable or pages; full render + client pagination","Add virtualized rows and server pagination for >1k rows"
F-037,enterprise_ux,"Inspect list pages for saved views",medium,"Power users cannot preserve filters/layouts","No saved views/presets implementation found","Implement per-user saved views with share and default pinning"
F-038,enterprise_ux,"Inspect workflow transparency around state changes",medium,"Action consequences not explicit","Many forms/actions lack impact preview and post-action timeline integration","Add timeline side panel + 'what will change' confirmation blocks"
F-039,enterprise_ux,"Inspect form autosave and recovery patterns",medium,"Long forms are fragile for interruptions","No generic autosave infrastructure across FormPage components","Add autosave SDK and stale-draft conflict UI"
