key,name,domain,criticality,odoo_model,status,next_entity,next_module,next_api_count,next_ui,next_workflow,next_report,gap_description,risk,priority,notes
home_dashboard,Домашний дашборд,Project Management,MUST,construction.home.dashboard,MATCHED,"Dashboard, DashboardWidget",analytics,41,"analytics, analytics/kpi-achievements, analytics/bonus-calculations",,AnalyticsReport,Full coverage,LOW,P2,Analytics dashboards with widgets; Odoo had single home dashboard
project,Строительный объект,Project Management,MUST,construction.project,MATCHED,"Project, ProjectMember, ProjectCollaborator, ProjectUpdate",project,14,"projects, projects/new, projects/:id (+2 more)","ProjectStatus: [DRAFT,PLANNING,IN_PROGRESS,ON_HOLD,COMPLETED,CANCELLED]; ProjectHealthStatus: [ON_TRACK,AT_RISK,OFF_TRACK,ON_HOLD]",PdfReportService,Odoo had chatter; verify Next comment/activity integration,LOW,P2,"Full project CRUD with members, plan-fact, PDF summary"
change_request,Запрос на изменение,Contract Management,MUST,construction.change.request,MATCHED,"ChangeEvent, ChangeOrder, ChangeOrderItem, ChangeOrderRequest",changeManagement,16,"change-management/events, change-management/events/:id, change-management/orders (+3 more)","ChangeEventStatus: [IDENTIFIED,UNDER_REVIEW,APPROVED_FOR_PRICING,PRICED,APPROVED,REJECTED,VOID]; ChangeOrderStatus: [DRAFT,PENDING_APPROVAL,APPROVED,EXECUTED,VOID]; ChangeOrderRequestStatus: [DRAFT,SUBMITTED,UNDER_REVIEW,APPROVED,REJECTED,REVISED]",,Full coverage,LOW,P2,"Richer change management with events, orders, requests"
contract_penalty,Начисление пеней по контракту,Contract Management,MUST,construction.contract.penalty,MATCHED,"ContractClaim, ContractSla, SlaViolation",contractExt,46,"contracts, contracts/new, contracts/:id (+4 more)","ClaimStatus: [FILED,UNDER_REVIEW,ACCEPTED,REJECTED,RESOLVED]; ViolationStatus: [DETECTED,NOTIFIED,ACKNOWLEDGED,RESOLVED]; ViolationStatus: [OPEN,IN_PROGRESS,RESOLVED,OVERDUE]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Penalty mapped to ContractClaim + SLA violations
estimate,Смета,Contract Management,MUST,construction.estimate,MATCHED,"Estimate, EstimateItem, EstimateVersion",estimate,10,"estimates, estimates/:id","EstimateStatus: [DRAFT,IN_WORK,APPROVED,ACTIVE]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Full estimate with items and versioning
estimate_norm,Сметный норматив,Contract Management,MUST,construction.estimate.norm,MATCHED,EstimateItem,estimate,10,"estimates, estimates/:id",,,Full coverage,LOW,P2,Norms embedded in EstimateItem; no separate norms entity
specification,Спецификация,Contract Management,MUST,construction.specification,MATCHED,"Specification, SpecItem",specification,7,"specifications, specifications/new, specifications/:id (+3 more)","SpecificationStatus: [DRAFT,IN_REVIEW,APPROVED,ACTIVE]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Full specification CRUD with items
estimate_version,Estimate Version,Contract Management,SHOULD,construction.estimate.version,MATCHED,EstimateVersion,estimate,10,"estimates, estimates/:id",,,Odoo had workflow states; verify state management,LOW,P2,Estimate versioning via EstimateVersion entity
price_coefficient,Ценовой коэффициент,Contract Management,SHOULD,construction.price.coefficient,MISSING,,,0,,,,No entity in Next; No API endpoints; No dedicated UI page,MEDIUM,P1,No dedicated price coefficient entity; may be in estimate logic
lrv,Лимитно-разделительная ведомость,Procurement / Purchase,MUST,construction.lrv,MATCHED,"PurchaseRequest, PurchaseRequestItem",procurement,13,"procurement, procurement/new, procurement/:id","PurchaseRequestStatus: [DRAFT,SUBMITTED,IN_APPROVAL,APPROVED,REJECTED,ASSIGNED,ORDERED,DELIVERED,CLOSED,CANCELLED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,LRV maps to PurchaseRequest in Next
