integration_name,status,bidirectional,has_journal,has_retries,has_idempotency,has_deduplication,has_tests,odoo_type,next_type,gap
1C (CommerceML 2.10),PARTIAL,yes,yes,no,no,yes,yes,HTTP API (bidirectional push/pull via CommerceML XML); file-based exchange,REST API (bidirectional sync via Spring @Transactional); entity mapping table,"Odoo has CommerceML 2.10 XML protocol, file exchange, outbox cron (5 min). Next uses REST JSON API. No @Retryable, no idempotency keys. Missing: CommerceML XML compat, file exchange, outbox cron."
EDO / SBIS (Electronic Document Exchange),PARTIAL,yes,no,no,yes,yes,yes,HTTP API to SBIS/Diadoc/Kontur; scheduled inbox/status polling; UPD/invoice/act/torg-12,REST API with SBIS/Diadoc/Kontur abstraction; document lifecycle with signing/rejection; partner mapping,"No scheduled polling cron for inbox/status in Next. No @Retryable on SbisService. Missing: inbox/status polling crons, exchange journal, retry logic."
"Bank API (Sberbank, Tinkoff, VTB, Alfa, Tochka)",PARTIAL,yes,no,no,no,no,no,Multi-bank HTTP API; OAuth2/certificate/basic auth; SBP support; scheduled sync,REST API with multi-bank provider config; payment order creation and reconciliation,"Odoo has 5 bank-specific clients, SBP support, 4 scheduled crons. Next has generic 70-line service, no bank-specific logic, no scheduled sync, no SBP, no retry, no tests."
Email (SMTP/IMAP),PARTIAL,no,no,no,no,no,no,SMTP outbound + IMAP/POP3 inbound; email queue with priority; digest scheduling,Spring JavaMailSender SMTP outbound; template-based emails; notification preferences,"Odoo has bidirectional email (SMTP+IMAP), queue cron, digests. Next has SMTP outbound only. Missing: fetchmail, email queue, digest scheduling, bounce handling."
Telegram Bot,MISSING,no,no,no,no,no,no,Telegram Bot API via HTTP; webhook-based receive; on-call notification channel,Notification preference enum only; no actual Telegram implementation,"Odoo has full Telegram Bot API: send/receive/inline keyboards/on-call alerts. Next only has TELEGRAM enum, no implementation."
Webhooks (outgoing + incoming),MATCHED,yes,yes,yes,no,no,yes,Outgoing webhook with HMAC; outbox pattern; incoming payment callbacks,Full webhook management: outgoing delivery tracking + retry; incoming code-based routing; delivery lifecycle,Next has more structured system with delivery tracking and retry. Minor: no confirmed HMAC-SHA256 verification; no outbox cron.
External REST API (for consumers),PARTIAL,no,no,no,no,no,yes,"Versioned REST JSON API (v1, v2); Swagger; API key auth; rate limiting; idempotency",Spring REST with role-based auth; no separate versioned external API,"Odoo has dedicated external API with versioning, Swagger, API key auth, rate limiting, idempotency. Next lacks: versioning, Swagger auto-gen, rate limiting, idempotency keys."
BIM / Renga 3D Integration,MISSING,no,no,no,no,no,no,HTTP API to Renga BIM server; 3D model import/export,CRUD only; no external Renga API,Odoo has direct HTTP integration with Renga BIM server. Next has BIM CRUD but no external API.
"Government Registries (FNS, Rosreestr, EGRUL)",MISSING,no,no,no,no,no,no,"HTTP API to FNS (tax/counterparty), Rosreestr (property/EGRN), EGRUL (company auto-fill)",Not implemented,"Odoo has FNS, Rosreestr, EGRUL integrations. Next has none."
AI / LLM Service,PARTIAL,no,no,no,no,no,yes,"HTTP POST to LLM API; chat, analysis, task suggestion",AI document analysis service,"Odoo has broader AI: chat, analysis, task suggestions. Next has document analysis only. Missing: chat assistant, task suggestion."
Omnichannel / SMS / WhatsApp / Viber,MISSING,no,no,no,no,no,no,"Multi-channel: SMS gateway, WhatsApp Business API, Viber, email aggregation",In-app and WebSocket push; batch support; no external messaging,"Odoo has SMS, WhatsApp Business API, Viber. Next has in-app/WebSocket/push only, no SMS/WhatsApp/Viber."
WebDAV / Synology File Storage,MISSING,no,no,no,no,no,no,WebDAV protocol; Synology FileStation REST API,Local/S3 via CDE; no WebDAV/NAS,Odoo integrates with WebDAV and Synology NAS. Next uses local/S3 via CDE.
FER/TER Price Database,MISSING,no,no,no,no,no,no,HTTP GET to external construction pricing database,Not implemented,Odoo fetches live pricing from FER/TER API. Next uses local data only.
KEP / CryptoPro Digital Signature,PARTIAL,no,no,no,no,no,no,CryptoPro API stub; certificate expiry monitoring crons,Signing workflow in EDO; no CryptoPro,Both lack production CryptoPro. Odoo has stub + cert monitoring crons. Next has signing workflow in EDO but no dedicated crypto service.
Weather API (Daily Log),MISSING,no,no,no,no,no,no,HTTP GET to weather API for daily log entries,Not implemented,Odoo fetches weather data for daily log. Next has no weather API integration.
"Observability (Elasticsearch, Prometheus, Jaeger)",PARTIAL,no,no,no,no,no,no,HTTP health checks to observability stack; Prometheus metrics,Spring Boot Actuator; no custom observability stack monitoring,"Odoo has custom ES/Prometheus/Jaeger health checks. Next uses Actuator out-of-box, lacks custom observability monitoring."
Sync / Mapping Infrastructure,MATCHED,yes,yes,yes,no,no,yes,Outbox event pattern; idempotency keys; rate limiting with cleanup,"Full sync management: job lifecycle (start/cancel/retry), bidirectional mapping, field-level config","Next has structured sync with job lifecycle and field mapping. Minor: no outbox pattern, no idempotency key management."
