id,release,priority,task,estimate,acceptance_criteria,owner_role
B-001,R1,P0,"Fix auth proxy contract between Vite and Docker env",1d,"Login succeeds from /login with seeded user in local stack; smoke test asserts POST /api/auth/login returns 200 via frontend",Senior Frontend Engineer
B-002,R1,P0,"Resolve TypeScript build blockers in workflow/safety/rfi/submittals/core modules",10d,"npm run build passes in CI with zero TS errors; deployment artifact produced",Senior Frontend Engineer
B-003,R1,P0,"Standardize route constants and remove obsolete /workflows links",1d,"All workflow navigation points resolve to /workflow/* routes; no redirect-to-dashboard on back action",Senior Frontend Engineer
B-004,R1,P0,"Implement accessible FormField id/htmlFor wiring",1d,"All inputs/selects/textareas expose label association; Playwright getByLabel passes on login and key forms",Accessibility Engineer
B-005,R1,P0,"Add aria labels to icon-only buttons in DS and critical pages",2d,"No unnamed icon buttons on login/projects/workflow pages per automated scan",Accessibility Engineer
B-006,R1,P1,"Add 404 page and diagnostic navigation recovery",1d,"Unknown routes show contextual 404 with links to recent modules and search",Lead Product Designer
B-007,R1,P1,"Replace window.confirm destructive flow with confirm modal + undo",2d,"Bulk destructive actions show impacted entities and provide undo/toast rollback",UX Researcher
B-008,R1,P1,"Create production-ready Documents list page replacing placeholder",4d,"/documents uses module page with filters, table actions, and status states",Senior Frontend Engineer
B-009,R1,P1,"Create visual regression baseline for 20 core pages",3d,"CI fails on unexpected screenshot deltas across 375/1024/1440 viewports",QA Visual Regression
B-010,R1,P1,"Add component tests for Button/FormField/DataTable/Modal",3d,"At least 30 component tests cover behavior, a11y props, and interaction states",QA Engineer
B-011,R2,P0,"Introduce server-side pagination/filter/sort contract for data-heavy lists",8d,"Projects/procurement/warehouse/payments use server query params and return paginated responses",Senior Frontend Engineer
B-012,R2,P0,"Implement table virtualization in DataTable for large datasets",5d,"List pages render 10k rows with smooth scroll (>50 FPS locally) and no memory spikes",Performance Engineer
B-013,R2,P0,"Build object-centric global search (Cmd/Ctrl+K + /search integration)",5d,"TopBar search opens results with entities/actions; enter navigates directly to selected object",Lead Product Designer
B-014,R2,P0,"Add saved views and shared filters for key list modules",6d,"Users can save personal/shared views with columns, filters, sort; default view persists",Design System Lead
B-015,R2,P1,"Implement route-level error boundaries and empty/error state standards",3d,"All major routes render consistent loading/empty/error components with recovery actions",Senior Frontend Engineer
B-016,R2,P1,"Unify status/badge/color tokens and remove ad-hoc maps",4d,"StatusBadge uses centralized semantic tokens; no duplicate status maps in modules",Design System Lead
B-017,R2,P1,"Enable a11y CI (axe + keyboard smoke) on core routes",3d,"No critical WCAG violations on login/projects/procurement/workflow/mobile forms",Accessibility Engineer
B-018,R2,P1,"Improve mobile data-table adaptation (320/375)",4d,"No horizontal overflow on audited routes at 320/375; dense/table cards are usable on touch",Lead Product Designer
B-019,R2,P1,"Add audit timeline + impact previews for workflow and approvals",5d,"Before status-changing actions, user sees impacted records and post-action timeline entry",UX Researcher
B-020,R2,P2,"Introduce locale-driven format service tied to i18n",2d,"Date/number/currency formatting changes with selected locale",Senior Frontend Engineer
B-021,R3,P0,"Implement robust autosave and draft recovery for long forms",7d,"All FormPage routes autosave every 5-10s; reopening prompts restore or discard",Senior Frontend Engineer
B-022,R3,P0,"Add offline-first queue for mobile field reports",8d,"Report creation works offline; queued sync retries with conflict UI when back online",Performance Engineer
B-023,R3,P0,"Finalize enterprise workflow dashboards and action transparency UX",6d,"Workflow designer and instances include SLA, ownership, and explainable transitions",Lead Product Designer
B-024,R3,P1,"Bundle budget governance and performance gates",3d,"CI enforces JS/CSS budget per route and alerts on >10% regression",Performance Engineer
B-025,R3,P1,"Deep E2E coverage for critical ERP path",5d,"Automated flow: create project -> purchase request -> warehouse movement -> payment passes in CI",QA Engineer
B-026,R3,P1,"Harden microcopy and terminology consistency across modules",3d,"UI copy passes terminology checklist and style guide for all top-level modules",Lead Product Designer
B-027,R3,P1,"Complete migration off placeholder pages",6d,"No active route references pages/placeholders; all routes backed by production modules",Senior Frontend Engineer
B-028,R3,P2,"Advanced table accessibility mode (screen reader optimized summaries)",3d,"Tables expose summaries/captions and keyboard shortcuts help panel",Accessibility Engineer
