module,file,todo,simulate,stub,notImplemented
monteCarlo,backend/src/main/java/com/privod/platform/modules/monteCarlo/service/MonteCarloService.java,0,70,0,0
integration,backend/src/main/java/com/privod/platform/modules/integration/govregistries/service/GovRegistryService.java,0,0,12,0
integration,backend/src/main/java/com/privod/platform/modules/integration/webdav/service/WebDavService.java,1,4,7,0
monteCarlo,backend/src/main/java/com/privod/platform/modules/monteCarlo/web/MonteCarloController.java,0,12,0,0
integration,backend/src/main/java/com/privod/platform/modules/integration/sms/service/SmsService.java,1,2,5,0
planning,backend/src/main/java/com/privod/platform/modules/planning/service/WbsNodeService.java,2,0,2,0
task,backend/src/main/java/com/privod/platform/modules/task/domain/TaskStatus.java,4,0,0,0
integration,backend/src/main/java/com/privod/platform/modules/integration/weather/service/WeatherService.java,1,0,1,0
analytics,backend/src/main/java/com/privod/platform/modules/analytics/service/AnalyticsSavedReportService.java,0,1,0,0
integration,backend/src/main/java/com/privod/platform/modules/integration/service/IntegrationEndpointService.java,0,1,0,0
integration,backend/src/main/java/com/privod/platform/modules/integration/service/IntegrationWebhookService.java,0,1,0,0
integration,backend/src/main/java/com/privod/platform/modules/integration/service/SbisService.java,0,1,0,0
monitoring,backend/src/main/java/com/privod/platform/modules/monitoring/service/BackupService.java,0,1,0,0
scheduler,backend/src/main/java/com/privod/platform/modules/scheduler/service/SchedulerService.java,0,1,0,0
settings,backend/src/main/java/com/privod/platform/modules/settings/service/EmailTemplateService.java,1,0,0,0
