status,odoo_report_name,odoo_display_name,odoo_model,odoo_type,next_report,next_endpoint,gap
MISSING,construction_audit.report_audit_checklist,Отчет по аудиту,construction.audit.checklist,qweb-pdf,,,No audit checklist report template or endpoint in Next
MISSING,construction_audit.report_audit_checklist_detailed,Отчёт о проверке (детальный),construction.audit.checklist,qweb-pdf,,,No detailed audit checklist report in Next
MISSING,construction_audit.report_audit_schedule,Расписание аудитов,construction.audit.schedule,qweb-pdf,,,No audit schedule report template or endpoint in Next
MISSING,construction_certificates.report_material_certificate,Реестр сертификатов,construction.material.certificate,qweb-pdf,,,No material certificate registry report; certificates tables exist (V71) but no PDF
MISSING,construction_crew_time.report_timesheet,Табель учёта рабочего времени,construction.time.sheet,qweb-pdf,,,No crew timesheet report template; CrewTimeReport domain exists but no PDF print form
MISSING,construction_dispatch.report_dispatch_order,Путевой лист,construction.dispatch.order,qweb-pdf,,,No dispatch order (waybill) report template or endpoint; fleet-assignment.html is for fleet only
MISSING,construction_finance.report_contract_penalty_document,Начисление пеней,construction.contract.penalty,qweb-pdf,,,No contract penalty report template; contract-report.html covers contract but not penalty accruals
MISSING,construction_finance.report_overhead_allocation_document,Распределение накладных расходов,construction.overhead.allocation,qweb-pdf,,,No overhead allocation distribution report template or endpoint
MISSING,construction_hr_russian.report_self_employed_registry_document,Реестр выплат самозанятым,construction.self.employed.registry,qweb-pdf,,,No self-employed payment registry report template or endpoint
MISSING,construction_hr_russian.report_work_order_document,Наряд на выполнение работ,construction.work.order,qweb-pdf,,,No work order report template; WorkOrderController exists but no PDF endpoint
MISSING,construction_iot.report_iot_device_document,Статус IoT устройств,construction.iot.device,qweb-pdf,,,No IoT device status report template or endpoint in Next
MISSING,construction_journals.report_journal_general_ks6,Общий журнал работ (КС-6),construction.journal.general,qweb-pdf,,,No KS-6 general journal report template; journal tables exist (V63) but no print form
MISSING,construction_kpi.report_kpi_achievement_document,Отчёт по KPI,construction.kpi.achievement,qweb-pdf,,,No KPI achievement report template; KPI module exists in Next but no PDF print form
MISSING,construction_logistics.report_transfer_plan,План перевозок,construction.transfer.plan,qweb-pdf,,,No transfer/transport plan report template or endpoint
