id,page_or_scope,severity,impact,evidence,reproduce,code_scope,fix,target_release
RV-001,frontend/src,critical,Data trust risk across ERP surface,`placeholderData:` occurrences: 225 in 192 TSX files,Search `placeholderData:` in `frontend/src`,frontend/src/modules/**,Introduce explicit demo mode flag and disable transactional mutations on demo data,R1
RV-002,"/projects,/procurement,/mobile/reports",critical,Users can act on mock data unknowingly,List pages fallback to hardcoded arrays when API empty/unavailable,Inspect `projects/procurement/mobile` list page query fallback logic,frontend/src/modules/projects/ProjectListPage.tsx; frontend/src/modules/procurement/PurchaseRequestListPage.tsx; frontend/src/modules/mobile/MobileReportsPage.tsx,Replace fallback with explicit empty/error states and retry actions,R1
RV-003,/search,high,Search results may not represent backend truth,Global search uses mock result fallback,Inspect `mockResults` and fallback branch,frontend/src/modules/search/GlobalSearchPage.tsx,Separate demo search mode and show source badge for non-backend results,R1
RV-004,frontend/src,critical,Unsafe destructive UX in many domains,`window.confirm(` occurrences: 31 files,Search `window.confirm(`,frontend/src/modules/**,Replace with DS confirmation modal + object list + undo window,R1
RV-005,/projects,high,Semantic mismatch for destructive action,"Bulk action label ""Удалить"" calls `changeStatus(CANCELLED)`",Open projects bulk action code,frontend/src/modules/projects/ProjectListPage.tsx,"Rename action to ""Отменить"" or implement real delete endpoint flow",R1
RV-006,/mobile/reports/new,critical,Draft workflow causes data loss,Save draft handler only toast + navigate,Click Save draft path in component,frontend/src/modules/mobile/MobileReportNewPage.tsx,Persist draft to API/local storage and recovery on reopen,R1
RV-007,mobile module,critical,Mobile sync flow not implemented end-to-end,UI only calls `mobileApi.getFieldReports`; write/sync methods unused,Search `mobileApi.` in TSX,frontend/src/modules/mobile/*.tsx; frontend/src/api/mobile.ts,Integrate create/update/submit/sync status into UI,R1
RV-008,frontend app shell,critical,No offline resilience for field operations,No service worker/workbox registration found,Search `serviceWorker|workbox|navigator.serviceWorker`,frontend/src/**,Implement PWA shell + queued writes + conflict resolution UI,R1
RV-009,sidebar,high,Notification credibility issue,Hardcoded badges: 3 and 5,Inspect nav item configs,frontend/src/design-system/components/Sidebar/index.tsx,Drive badges from query state and hide when stale/unavailable,R2
RV-010,topbar,high,Unread indicator can mislead users,Notification red dot rendered unconditionally,Inspect notification button markup,frontend/src/design-system/components/TopBar/index.tsx,Bind dot/counter to actual unread API state,R2
