id,release,priority,title,owner,effort,related_findings,acceptance_criteria,code_scope
RB-001,R1,P0,Disable implicit demo fallback on transactional pages,Frontend Lead,L,RV-001;RV-002,Transactional pages render API states (loading/empty/error) and never silently use mock arrays in production mode,frontend/src/modules/**/ListPage.tsx
RB-002,R1,P0,Add global demo-data badge and action guard,Design System + Frontend,M,RV-001;RV-002;RV-003,When demo data source is active UI shows persistent badge and destructive/save actions are blocked,frontend/src/design-system/**; frontend/src/modules/**
RB-003,R1,P0,Replace window.confirm with DS ConfirmDialog in all modules,Design System + Frontend,XL,RV-004,No `window.confirm(` remains in `frontend/src`; all destructive actions use standardized dialog,frontend/src/modules/**
RB-004,R1,P0,Fix project bulk action semantics,Frontend Lead,S,RV-005,Bulk action label and backend mutation semantics are aligned and user-visible copy is accurate,frontend/src/modules/projects/ProjectListPage.tsx
RB-005,R1,P0,Persist mobile report drafts,Mobile Frontend,M,RV-006,Draft save writes persisted entity and reopen restores draft with timestamp,frontend/src/modules/mobile/MobileReportNewPage.tsx; frontend/src/api/mobile.ts
RB-006,R1,P0,Wire mobile write/sync APIs to UI,Mobile Frontend,M,RV-007,UI uses create/update/submit/sync endpoints and exposes sync status to user,frontend/src/modules/mobile/*.tsx
RB-007,R1,P0,Add offline write queue for mobile workflows,Frontend + Platform,L,RV-008,Offline submissions are queued and retried with conflict status UI,frontend/src/modules/mobile/**; app shell
RB-008,R1,P0,Modal a11y hardening (unique ids + close label),Design System,S,RV-011;RV-015,Modal ids are unique per instance and close button has explicit aria-label,frontend/src/design-system/components/Modal/index.tsx
RB-009,R1,P0,Implement focus trap loop in modal,Design System,M,RV-012,Tab/Shift+Tab cycle remains inside modal and focus returns to trigger on close,frontend/src/design-system/components/Modal/index.tsx
RB-010,R1,P0,Add aria-labels to icon-only DS controls,Design System,M,RV-013;RV-014;RV-016;RV-029;RV-030;RV-031;RV-032,All icon-only buttons in DS components expose accessible names,"frontend/src/design-system/components/{TopBar,PageHeader,DataTable,Sidebar,Modal}/index.tsx"
RB-011,R1,P1,Add DataTable semantic header attributes,Design System,S,RV-017,Table headers include scope and aria-sort mapped to sort state,frontend/src/design-system/components/DataTable/index.tsx
RB-012,R1,P0,Restore runtime health baseline for audit and CI,Platform/DevOps,M,RV-035;RV-036;RV-037;RV-038,Backend and frontend health endpoints respond within SLA and docker commands are stable,docker-compose.yml; runtime environment
RB-013,R2,P1,Adopt i18n hook in top-traffic modules,Frontend Lead,L,RV-019,At least 20 highest-traffic pages use i18n message keys instead of hardcoded strings,"frontend/src/modules/{projects,finance,procurement,warehouse,mobile}/**"
RB-014,R2,P1,Make formatting locale-driven,Frontend Core,M,RV-020,All shared formatters derive locale from app state; no hardcoded ru-RU in shared helper,frontend/src/lib/format.ts; frontend/src/i18n/**
RB-015,R2,P1,Unify form labeling with DS contract,Design System + Frontend,L,RV-018;RV-040,Form controls in target modules pass explicit id/htmlFor or DS auto-id helper,frontend/src/design-system/components/FormField/index.tsx; frontend/src/modules/**
RB-016,R2,P1,Implement saved views for enterprise tables,Frontend + Product,L,RV-029,Users can save/rename/share/default views for filters/sort/columns,frontend/src/modules/**/ListPage.tsx; state layer
RB-017,R2,P1,Add autosave SDK for long forms,Frontend Core,L,RV-030,Long forms autosave every N seconds and recover drafts after refresh,"frontend/src/modules/{projects,procurement,warehouse,finance}/**"
RB-018,R2,P1,Introduce virtualized row rendering,Frontend Core,L,RV-026;RV-027,Large datasets render with virtualization and maintain smooth scroll at >1000 rows,frontend/src/design-system/components/DataTable/index.tsx
RB-019,R2,P1,Migrate heavy lists to server pagination,Frontend + Backend,L,RV-027,High-volume pages request paged data from API and avoid full in-memory datasets,frontend/src/modules/**/ListPage.tsx; backend paging contracts
RB-020,R2,P1,Refine domain-based code splitting,Frontend Core,M,RV-028,Bundle analyzer shows domain chunks and reduced initial route payload,frontend/vite.config.ts; route lazy imports
RB-021,R2,P1,Replace static sidebar/topbar notification counters,Frontend + Backend,M,RV-009;RV-010,Notification indicators are API-driven with stale/error fallback UX,"frontend/src/design-system/components/{Sidebar,TopBar}/index.tsx"
RB-022,R2,P2,Role-based navigation presets and favorites,Product + Frontend,M,RV-031,Sidebar shows reduced role-specific navigation with user favorites,frontend/src/design-system/components/Sidebar/index.tsx
RB-023,R2,P2,Upgrade TopBar into command palette,Frontend + Product,M,RV-032,Cmd+K opens command palette with recent entities/actions and keyboard navigation,frontend/src/design-system/components/TopBar/index.tsx; search module
RB-024,R2,P2,Separate demo search behavior from production search,Frontend,S,RV-003,Search result source is explicit and production uses backend data path by default,frontend/src/modules/search/GlobalSearchPage.tsx
RB-025,R3,P1,Replace /documents placeholder route with production module,Frontend Lead,M,RV-021,`/documents` renders production documents list with real filters/actions,frontend/src/routes/index.tsx; frontend/src/modules/documents/**
RB-026,R3,P1,Add component tests for DS primitives,QA + Frontend,M,RV-022,Critical DS components have deterministic component test coverage,frontend/src/design-system/components/**/*.test.tsx
RB-027,R3,P1,Add component tests for high-risk pages,QA + Frontend,L,RV-022;RV-024,Project/procurement/mobile/workflow pages have interaction and state tests,frontend/src/modules/**/**/*.test.tsx
RB-028,R3,P1,Introduce Playwright visual regression baselines,QA,M,RV-023,Critical routes have screenshot baselines for 320/768/1440/1920 viewports,frontend/e2e/visual/**/*.spec.ts
RB-029,R3,P1,Convert smoke tests to business-critical e2e journeys,QA + Frontend,L,RV-024,E2E validates create project -> procurement -> movement -> payment outcomes,frontend/e2e/critical-paths/**/*.spec.ts
RB-030,R3,P2,Align Playwright runtime profiles for Docker/local CI,QA + Platform,S,RV-033;RV-034,Test config supports docker baseURL profiles and stable auth bootstrap,frontend/e2e/playwright.config.ts; CI workflow
