status,criticality,domain,capability_key,capability_name,odoo_model,odoo_menu_path,odoo_view_types,next_route,next_page,next_module,view_types_covered,view_types_missing,gap
MISSING,MUST,Project Management,home_dashboard,Домашний дашборд,construction.home.dashboard,Главная,form,/,DashboardPage,,,form,No view types covered. Odoo has: form
PARTIAL,MUST,Project Management,project,Строительный объект,construction.project,Строительство; Строительство / Главная; Строительство / Проекты / Все объекты,"form, kanban, list",projects; projects/:id; projects/new,ProjectListPage; ProjectDetailPage; ProjectFormPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Contract Management,contract_penalty,Начисление пеней по контракту,construction.contract.penalty,Строительство / Финансы / Начисления пеней,"form, kanban, list",contracts/:id,ContractDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Contract Management,estimate,Смета,construction.estimate,Строительство / Сметы и спецификации / Сметы / Реестр смет; Строительство / Сметы / Сметная документация,"form, graph, kanban, list, pivot",estimates; estimates/:id,EstimateListPage; EstimateDetailPage,,"form, list","graph, kanban, pivot",Missing kanban/board view; Missing pivot table view; Missing chart/graph view
PARTIAL,MUST,Contract Management,specification,Спецификация,construction.specification,Строительство / Сметы и спецификации / Спецификации; Строительство / Сметы / Спецификации,"form, kanban, list",specifications; specifications/:id; specifications/new,SpecificationListPage; SpecificationDetailPage; SpecificationFormPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Procurement / Purchase,lrv,Лимитно-разделительная ведомость,construction.lrv,Строительство / Снабжение / Лимитно-разделительные ведомости,"form, kanban, list",change-management/orders; change-management/orders/:id,ChangeOrderListPage; ChangeOrderDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Procurement / Purchase,material_reservation,Резервирование материалов,construction.material.reservation,Строительство / Склад / Резервирование материалов,"form, kanban, list",procurement/:id,PurchaseRequestDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Procurement / Purchase,upd,УПД (Универсальный передаточный документ),construction.upd,Строительство / Снабжение / УПД/Накладные,"form, kanban, list",russian-docs/list,RussianDocListPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,SHOULD,Procurement / Purchase,material_analog,Группа аналогов материала,construction.material.analog,Строительство / Снабжение / Аналоги материалов,"form, kanban, list",specifications/analogs,MaterialAnalogsPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Procurement / Purchase,material_norm,Норма расхода материала,construction.material.norm,Строительство / Нормы материалов,"form, list",warehouse/materials,MaterialListPage,,list,form,Missing form/detail view
